id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
775369988,BIO_03_DIVES_20240320_131500.WAV,Bio_3,2024,3,20,13,18,Amazona albifrons,Simple Call,1.6693333333333333,3.002666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029276,0.15795074932450115,56007
775369989,BIO_03_DIVES_20240320_131500.WAV,Bio_3,2024,3,20,13,19,Amazona albifrons,Simple Call,6.298666666666667,7.632,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029277,0.16286359500594624,56007
775369990,BIO_03_DIVES_20240320_132900.WAV,Bio_3,2024,3,20,13,29,Amazona albifrons,Simple Call,19.141333333333332,20.474666666666668,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029278,0.10589970012341048,56007
775369991,BIO_03_DIVES_20240320_132900.WAV,Bio_3,2024,3,20,13,30,Amazona albifrons,Simple Call,55.73866666666667,57.072,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029279,0.10745699082372964,56007
775369992,BIO_03_DIVES_20240320_132900.WAV,Bio_3,2024,3,20,13,31,Amazona albifrons,Simple Call,53.92,55.25333333333333,1031.25,23062.5,24000,not present,https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029280,0.23011444286994656,56007
775369993,BIO_03_DIVES_20240320_123300.WAV,Bio_3,2024,3,20,12,36,Amazona albifrons,Simple Call,34.928,36.26133333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029287,0.11030719041846043,56007
775369994,BIO_03_DIVES_20240320_123300.WAV,Bio_3,2024,3,20,12,37,Amazona albifrons,Simple Call,53.312,54.64533333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029288,0.1480480416669257,56007
775369995,BIO_03_DIVES_20240320_130800.WAV,Bio_3,2024,3,20,13,8,Amazona albifrons,Simple Call,9.914666666666667,11.248,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029289,0.18007816194459078,56007
775369996,BIO_03_DIVES_20240320_130800.WAV,Bio_3,2024,3,20,13,9,Amazona albifrons,Simple Call,41.09866666666667,42.432,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029290,0.11318875237199118,56007
775369997,BIO_03_DIVES_20240320_130800.WAV,Bio_3,2024,3,20,13,10,Amazona albifrons,Simple Call,57.85066666666667,59.184,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029291,0.10945794674336676,56007
